감기_lag1,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
3654.0,0.0286,0.0521,0.43,0.0038,48.0,25.0
3279.0,0.0243,0.0501,0.28,0.0033,46.0,24.0
3933.0,0.0219,0.0581,0.48,0.0047,50.0,28.0
4775.0,0.0204,0.0581,0.41,0.0034,45.0,27.0
2641.0,0.0224,0.0568,0.44,0.0034,54.0,24.0
3043.0,0.0134,0.0656,0.44,0.0031,46.0,23.0
5186.0,0.0147,0.0624,0.46,0.0037,46.0,23.0
4876.0,0.0208,0.0535,0.46,0.0035,45.0,26.0
3234.0,0.0185,0.0565,0.42,0.0032,49.0,24.0
4109.0,0.0114,0.0605,0.36,0.0042,46.0,23.0
4826.0,0.0242,0.0568,0.49,0.0061,46.0,30.0
6186.0,0.0294,0.0486,0.53,0.0044,49.0,29.0
4780.0,0.0288,0.0542,0.51,0.0045,56.0,24.0
2506.0,0.0234,0.0432,0.39,0.004,54.0,24.0
4461.0,0.0231,0.0492,0.5,0.0041,43.0,26.0
3797.0,0.0337,0.0473,0.49,0.0043,46.0,22.0
4803.0,0.0222,0.0585,0.43,0.0036,44.0,24.0
4467.0,0.0314,0.0516,0.57,0.0041,52.0,28.0
5579.0,0.0302,0.0447,0.44,0.0037,59.0,26.0
7709.0,0.03,0.0534,0.45,0.0038,48.0,24.0
5520.0,0.0478,0.0363,0.53,0.0037,54.0,29.0
1463.0,0.0236,0.0435,0.43,0.003,45.0,25.0
1498.0,0.0301,0.0491,0.56,0.005,51.0,28.0
2420.0,0.0428,0.028,0.61,0.0052,53.0,36.0
3709.0,0.0328,0.0481,0.54,0.0052,54.0,32.0
3979.0,0.0311,0.0474,0.46,0.0042,51.0,28.0
3694.0,0.0324,0.0406,0.34,0.0036,51.0,30.0
4339.0,0.0296,0.05,0.54,0.005,56.0,34.0
